company,date,title,s-description,url
Bet365,15/07/2020,2 Goals Ahead Early Payout Offer,Get your single bets paid out if the team you back goes 2 goals ahead - for multiple bets the selection will be marked as a winner.,https://extra.bet365.com/promotions/en/soccer/early-payout-offer/
Bet365,15/07/2020,Open Account Offer,Up to £100 in Bet Credits for new customers.,https://extra.bet365.com/promotions/open-account-offer
Bet365,15/07/2020,Soccer Accumulator Bonus,Up to 70% bonus for accumulators on a wide range of selected leagues and competitions.,https://extra.bet365.com/promotions/en/soccer/soccer-accumulator-bonus
Bet365,15/07/2020,Bore Draw Money Back,Refund for any Soccer game that finishes 0-0.,https://extra.bet365.com/promotions/en/soccer/bore-draw-money-back
Bet365,15/07/2020,bet365 Price Promise,Best price on every horse for all races shown live on ITV Racing.,https://extra.bet365.com/promotions/en/horse-racing/price-promise/
Bet365,15/07/2020,ITV Racing 4/1 Offer,Back a winner at 4/1 or more and get a risk free bet on the next live ITV race (up to £50).,https://extra.bet365.com/promotions/en/horse-racing/itv-racing-4-to-1-offer
Bet365,15/07/2020,Tennis Accumulator Bonus,Earn up to 70% more on your Tennis accumulators.,https://extra.bet365.com/promotions/en/other-sports/tennis-accumulator-bonus/
Bet365,15/07/2020,2 Goals Ahead Early Payout Offer,Get your single bets paid out if the team you back goes 2 goals ahead - for multiple bets the selection will be marked as a winner.,https://extra.bet365.com/promotions/en/soccer/early-payout-offer/
Bet365,15/07/2020,Soccer Accumulator Bonus,Up to 70% bonus for accumulators on a wide range of selected leagues and competitions.,https://extra.bet365.com/promotions/en/soccer/soccer-accumulator-bonus
Bet365,15/07/2020,Bore Draw Money Back,Refund for any Soccer game that finishes 0-0.,https://extra.bet365.com/promotions/en/soccer/bore-draw-money-back
Bet365,15/07/2020,Each Way First Goalscorers,We will pay out at 1/3 odds for unlimited places in 90 minutes play.,https://extra.bet365.com/promotions/en/soccer/each-way-first-goalscorer
Bet365,15/07/2020,Full Time Result - Enhanced Prices,Take a bigger price on matches from the top competitions in England the Champions League and Europa League.,https://extra.bet365.com/promotions/en/soccer/enhanced-full-time-result
Bet365,15/07/2020,bet365 Price Promise,Best price on every horse for all races shown live on ITV Racing.,https://extra.bet365.com/promotions/en/horse-racing/price-promise/
Bet365,15/07/2020,ITV Racing 4/1 Offer,Back a winner at 4/1 or more and get a risk free bet on the next live ITV race (up to £50).,https://extra.bet365.com/promotions/en/horse-racing/itv-racing-4-to-1-offer
Bet365,15/07/2020,Feature Race 4/1 Offer,Back a winner at 4/1 or more and get a risk free bet on the next Feature Race (up to £50).,https://extra.bet365.com/promotions/en/horse-racing/feature-race-4-to-1
Bet365,15/07/2020,Best Odds Guaranteed,Take a price on your selection and if the SP is bigger we will pay you at the bigger odds.,https://extra.bet365.com/promotions/en/horse-racing/best-odds-guaranteed/
Bet365,15/07/2020,Racing Value,Early prices on every race and pay out on disqualified horses.,https://extra.bet365.com/promotions/en/horse-racing/racing-value/
Bet365,15/07/2020,Each Way Extra,Choose your place terms for Each Way Horse Racing bets on selected Horse Races.,https://extra.bet365.com/promotions/en/horse-racing/each-way-extra/
Bet365,15/07/2020,Watch Live Horse Racing,Watch every race in the UK and Ireland live. Now also available on iPhone iPad and Android.,https://extra.bet365.com/promotions/en/horse-racing/watch-racing-live/
Bet365,15/07/2020,Racing Archive,Watch replays of all UK and Irish races covered by RTV and ATR for free.,https://extra.bet365.com/promotions/en/horse-racing/racing-archive/
Bet365,15/07/2020,My Horses,Build a stable of your favourite horses and receive updates when they run.,https://extra.bet365.com/features/en/my-horses
Bet365,15/07/2020,Best Odds Guaranteed,Take a price on your selection and if the SP is bigger we will pay you at the bigger odds.,https://extra.bet365.com/promotions/en/greyhound-racing/best-odds-guaranteed
Bet365,15/07/2020,Watch Live Greyhounds,Watch top quality Live Greyhounds from selected tracks across the UK US and Mexico.,https://extra.bet365.com/promotions/en/greyhound-racing/watch-live-greyhounds
Bet365,15/07/2020,My Greyhounds,Build a kennel of your favourite greyhounds and receive updates when they run.,https://extra.bet365.com/promotions/en/greyhound-racing/my-greyhounds
Bet365,15/07/2020,Euro Basketball Early Payout Offer,Get your single bets paid out if the team you back goes 18 points ahead - for multiple bets the selection will be marked as a winner.,https://extra.bet365.com/promotions/en/other-sports/basketball-early-payout/
Bet365,15/07/2020,Tennis Accumulator Bonus,Earn up to 70% more on your Tennis accumulators.,https://extra.bet365.com/promotions/en/other-sports/tennis-accumulator-bonus/
Bet365,15/07/2020,Parlay Bonus,Earn up to 70% more on your US Sports parlays.,https://extra.bet365.com/promotions/en/other-sports/parlay-bonus/
Bet365,15/07/2020,Euro Basketball Bonus,Earn up to 70% more on your Men's European Basketball accumulators.,https://extra.bet365.com/promotions/en/other-sports/basketball-bonus/
Bet365,15/07/2020,Extra Time Extra Chance,For all Rugby League and Rugby Union matches that go into extra time.,https://extra.bet365.com/promotions/en/other-sports/extra-time-extra-chance/
Bet365,15/07/2020,Odds Drift Protector,If the price at the jump is bigger than the price that you took we will pay you out at the bigger odds.,https://extra.bet365.com/promotions/en/australian-racing/odds-drift-protector
Bet365,15/07/2020,365 Top Tote +,Get the best dividend from the three TABs or the final Official Price on Tote Win Tote Place or Exotic bets.,https://extra.bet365.com/promotions/en/australian-racing/365-top-tote-plus
Bet365,15/07/2020,365 Tote,Get the best Win dividend from the three national Totes or the final Official Price on all Australian Horse Racing.,https://extra.bet365.com/promotions/en/australian-racing/365-tote
Bet365,15/07/2020,365 International,Select how you bet on Asian and New Zealand Racing.,https://extra.bet365.com/promotions/en/australian-racing/365-international
Bet365,15/07/2020,Top Fluctuation,Get the best official bookmaker's price with our Top Fluctuation market.,https://extra.bet365.com/promotions/en/australian-racing/best-fluctuation
Bet365,15/07/2020,365 Mid+,Get the Middle Tote plus 5% of your winnings on Greyhounds.,https://extra.bet365.com/promotions/en/australian-racing/365-mid-plus-greyhounds
Bet365,15/07/2020,Fixed Prices on Greyhounds,Fixed Prices are available on all Australian Greyhounds.,https://extra.bet365.com/promotions/en/australian-racing/fixed-price-greyhounds
Bet365,15/07/2020,365 Mid+,Get the Middle Tote plus 5% of your winnings on Harness Racing.,https://extra.bet365.com/promotions/en/australian-racing/365-mid-plus-harness
Bet365,15/07/2020,Racing Value,Final field deductions on winnings only and the bet365 Protest Promise.,https://extra.bet365.com/promotions/en/australian-racing/aus-racing-value
Bet365,15/07/2020,Live Streaming,Watch your favourite sports on mobile tablet & desktop.,https://extra.bet365.com/promotions/en/mobile-and-tablet/sports-live-streaming
Bet365,15/07/2020,Push Notifications,Get the latest offers promotions and sports action sent straight to your mobile.,https://extra.bet365.com/promotions/en/mobile-and-tablet/push-notifications
