company,date,title,s-description,url
PaddyPower,15/07/2020,Here's A Special One - 100 Free Spins For All New Registrations,'Offer available to new to Paddy Power customers only who register via Registration Code PGCTV1. Valid on any of our Daily Jackpots games which have a jackpot that must drop before 11pm every day! Once SMS verified launch a game of your choice from the Daily Jackpots collection to claim your spins.',https://promos.paddypower.com/promotion?promoCode=GASUO100FS10PSUO
PaddyPower,15/07/2020,Don't Think You're Special - Someone wins every night!,"Play across any of our Daily Jackpot slots for chance to land the Daily Jackpot which has an average jackpot value of £40000. The Jackpot must be won by 11:00pm and someone has to win it. But don't think you're special - they drop every day!",https://promos.paddypower.com/promotion?promoCode=GAMDAILYJACKPOT2
PaddyPower,15/07/2020,£10 RISK FREE FIRST BET,"Place a single £10 Sportsbook bet and if it loses we'll refund it in CASH*Only deposits made via Credit/Debit Card and Apple Pay will be eligible for the promotion",https://promos.paddypower.com/promotion?promoCode=CACQRF10YSKAEQP3
PaddyPower,15/07/2020,BET £1 ON THE IRISH LOTTO OR IRISH DAILY MILLIONS & GET A £1 FREE BET FOR LOTTO,'One offer per customer per day. Max free bet £1. Free bet can be used on any Lotto draws. T&Cs apply.',https://promos.paddypower.com/promotion?promoCode=LOTTOBAUMAIN1
PaddyPower,15/07/2020,GET A FREE BET UP TO £10 & A POWER UP,'You can qualify for Paddy’s Rewards Club in 1 of 3 ways:If you place 1 bet of £5+ you will be credited with a Power Up the following Monday.If you place 5 bets of £5+ you will be credited with a free bet of £5 and a Power Up the following Monday.If you place 5 bets of £10+ you will be credited with a free bet of £10 and a Power Up the following Monday.',https://promos.paddypower.com/promotion?promoCode=PADDYSREWARDS
PaddyPower,15/07/2020,WIN ENTRY INTO AN EXCLUSIVE €1000 POKER TOURNAMENT EVERY WEEK,'Place a min bet of\xa0£5+\xa0on Sports and/or\xa0£25\xa0on Slots each week to qualify.Earn entry into a freeroll Poker tournament where you can win a share of\xa0£1000\xa0prize pool (email marketing opt-in required). Offer starts July 6th 2020.',https://promos.paddypower.com/promotion?promoCode=PADDYSREWARDSNEW
PaddyPower,15/07/2020,FREE BET IF ONE LEG OF YOUR 4+ FOLD ACCA OR SAME GAME MULTI LETS YOU DOWN,'Applies to all sports and all markets. Excludes Horse Racing. Max free bet £10 per day. Min odds per leg of 1/5.\xa0You can include multiple sports within the same Acca. T&Cs apply.',https://promos.paddypower.com/promotion?promoCode=ALLSPORTSACCA
PaddyPower,15/07/2020,PADDY'S SKILL ZONE,'Test your skills in Paddy’s Skillzone for a chance to win a weekly share of 10K in free bets! Prizes valid for 7 days. T&Cs apply.',https://promos.paddypower.com/promotion?promoCode=PPSKILLZONE
PaddyPower,15/07/2020,PLACE A £5+ IN-PLAY ESPORTS BET AND GET A FREE POWER UP!,'Applies to £5+ in-play singles bets on eSports. Minimum odds of 1/5 (1.2). Max 1 Power Up per day. Power Up is valid for 24 hours. T&Cs apply.',https://promos.paddypower.com/promotion?promoCode=PUESPORTSP80
PaddyPower,15/07/2020,£1000 IS YOURS UPFRONT BUT CAN YOU BEAT THE DROP?,'Free to play. Only one game may be played at any given time. Answer 12 questions and money left in the pot after all the questions are answered is yours to keep. T&Cs apply.',https://promos.paddypower.com/promotion?promoCode=BEATTHEDROP2020
