company,date,title,s-description,url
WilliamHill,15/07/2020,Top Price Guaranteed on selected Enhanced Odds,Online only. Comparison with selected bookmakers. Betting exchange restrictions apply. Full T&Cs apply.,https://promotions.williamhill.com/offer/top-price-guaranteed
WilliamHill,15/07/2020,We're Top Price Guaranteed on tournament winner betting at the Memorial Tournament 2020,Top prices from 12:00 on 06/06/2020 on the Top 20 players in the Tournament Winner Market only. Available on all channels. Comparison with selected competitors. Comparison does not include enhanced/boosted prices from competitors. Betting exchange restrictions apply. Full T&Cs apply.,https://promotions.williamhill.com/offer/top-price-guaranteed-the-memorial-16-july
WilliamHill,15/07/2020,Get 3 Bet Boosts to use every day across Horse Racing & Greyhounds,3 x Bet Boosts singles to use across horse racing and greyhound per customer per day. Available daily from 00:01 until 23:59. Max stake £20 win or £20 EW. On EW bets only "win" part boosted. Online only. Player restrictions & terms apply. Click for full terms.,https://promotions.williamhill.com/offer/more-boosts-on-horse-racing
WilliamHill,15/07/2020,What's on today?,We've made it easier for you to know what events are available to bet on each day.,https://promotions.williamhill.com/offer/live-events-on-tv-and-whtv
WilliamHill,15/07/2020,Create an acca with 3+ selections & enjoy our biggest ever Bet Boost,One Bet Boost on trebles and above per customer per day (All sports excluding horse racing & greyhounds). Max stake £20 win or £20 EW. On EW bets only “win” part Boosted. Online only. Player restrictions & terms apply. Click for full terms.,https://promotions.williamhill.com/offer/our-biggest-ever-bet-boost
WilliamHill,15/07/2020,Get Extra Places on selected race meetings every week,Minimum runners will apply for enhanced place terms. Enhanced each way terms at 1/5 odds unless otherwise stated. Click for full terms.,https://promotions.williamhill.com/offer/extra-places-on-horse-racing
WilliamHill,15/07/2020,Get Best Odds Guaranteed on all UK & Irish horse racing and greyhounds,Max benefit £25000 per customer per day. Available on selected races/meetings from 10:00 on day of race. If SP is greater than price taken returns will be paid at SP. Customer/Player restrictions & Racing Best Odds Guaranteed Rules apply.,https://promotions.williamhill.com/offer/best-odds-guaranteed
WilliamHill,15/07/2020,Get 10% of your in-play losses back as a Free Bet,10% net losses on tennis bets for the previous week/each week paid as free bet. In-play only. Single bets only. Max £100 free bet paid 12:00 Monday for previous week. Free bet expires after 4 days. Player country and currency restrictions apply. Free bet rules and terms apply. Click for full terms.,https://promotions.williamhill.com/offer/in-play-tennis-10-back-as-a-free-bet
WilliamHill,15/07/2020,Get 10% of your in-play losses back as a Free Bet,10% net losses on cricket bets for the previous week/each week paid as free bet. In-play only. Single bets only. Max £100 free bet paid 12:00 Monday for previous week. Free bet expires after 4 days. Player country and currency restrictions apply. Free bet rules and terms apply. Click for full terms.,https://promotions.williamhill.com/offer/in-play-cricket-insurance-10-back-as-a-free-bet
WilliamHill,15/07/2020,Get Flash Odds on selected events every week,Stake limits apply. Limited availability. Click for full terms.,https://promotions.williamhill.com/offer/flash-odds
WilliamHill,15/07/2020,Get Double #YourOdds on selected events every week,Stake limits apply. Limited availability. Click for full terms.,https://promotions.williamhill.com/offer/double-yourodds
WilliamHill,15/07/2020,#YourOdds - Bet on the markets everyone is talking about,Stake limits apply. Click for full terms.,https://promotions.williamhill.com/offer/yourodds
WilliamHill,15/07/2020,Sign up with P30 & bet £10 or more to get 2 x £15 in Free Bets,New online customers only min £10/€10 stake win only min odds 1/2 free bets paid as 2 X £15/€15 free bet 30 days expiry free bet/payment method/player/country restrictions apply. Cilck for full terms.,https://promotions.williamhill.com/offer/p30
WilliamHill,15/07/2020,Bonus Explorer,Promotion runs daily from 27.05.2020 to 22.07.2020. Individual promotion terms apply. UK customers only. Eligibility rules location and currency restrictions and terms and conditions apply.,https://promotions.williamhill.com/offer/bonus-explorer
WilliamHill,15/07/2020,Vegas,Opt-in required.1x per customer. William Hill Megaways™ only. Max 10 free spins at 10p/spin. Offer ends 27th September 2020. Eligibility rules game location and currency restrictions and terms and conditions apply. Click to view terms.,https://promotions.williamhill.com/offer/10fswhm-0107
